mappingId,upstreamContract,upstreamSemanticUnit,upstreamLocation,upstreamRequiredness,upstreamCondition,upstreamCardinality,upstreamProhibitions,downstreamContract,downstreamSemanticUnit,downstreamLocation,downstreamRequiredness,downstreamCondition,downstreamCardinality,downstreamContainment,downstreamLifecycle,comparisonResult,reason
M20,C9,entry registry (18 fixture subtype identities),"n/a (base row, pre-normalization)",required (evaluation-only),n/a,exactly 1 per fixture,never inside runtime PerceptionResult,C10,ComparisonOutcome.entryIdentity,"n/a (base row, pre-normalization)",required,n/a,exactly 1,contained within ComparisonOutcome (evaluation-only construct),evaluation,EXACT MATCH,Verified strict separation maintained -- never leaks into runtime fields
M21,C9,failure registry (52 governance/comparison failure identities),"n/a (base row, pre-normalization)",conditional (evaluation-only),n/a,0..1,never inside runtime PerceptionResult,C10,ComparisonOutcome.primaryFailureIdentity,"n/a (base row, pre-normalization)",conditional,present iff outcome != pass,0..1,same,evaluation,EXACT MATCH,Same strict separation verified
M22,C9,escalation registry (14 identities),"n/a (base row, pre-normalization)",conditional,n/a,n/a,n/a,C10,post-seal mutation escalation chain,"n/a (base row, pre-normalization)",conditional,triggered only on post-result mutation,n/a,cross-cutting security rule,runtime + evaluation,EXACT MATCH,c9.failure.post-result-mutation -> c9.escalation.security-stop preserved unconditional and unweakened
M23,C9,comparison registry (15 deterministic outcomes),"n/a (base row, pre-normalization)",required (evaluation-only),n/a,exactly 1 per comparison,n/a,C10,ComparisonOutcome.comparisonOutcomeIdentity,"n/a (base row, pre-normalization)",required,n/a,exactly 1,same,evaluation,EXACT MATCH,Precedence chain (1-15) verified preserved unchanged
M24,C9,"runtime reason tokens (4, fixed by C9 itself)","n/a (base row, pre-normalization)",required (runtime-facing),n/a,exactly 1,"exactly these 4, no more",C10,FailureResult.technicalReasonCategory,"n/a (base row, pre-normalization)",required,n/a,exactly 1,contained within FailureResult,runtime,EXACT MATCH,Independently re-verified multiple times against live Contract 9; 0 unauthorized tokens found in the final accepted identity
M25,C9,"runtime violation tokens (14, fixed by C9 itself)","n/a (base row, pre-normalization)",required (runtime-facing),n/a,1..N,"exactly these 14, no more",C10,RejectedResult.contractViolations[],"n/a (base row, pre-normalization)",required,n/a,1..N,contained within RejectedResult,runtime,EXACT MATCH,Same verification basis as M24
M06-01,C4,AttributeEvidenceArtifact.attributeEvidenceArtifactIdentity,c4-sec8-aea-semantic-contract,required,Unique within one consolidated PerceptionResult.,exactly 1,n/a,C10,AttributeEvidenceArtifact.attributeEvidenceArtifactIdentity,c10-sec7-master-field-inventory,same,same,exactly 1,contained within attributeEvidenceArtifacts[],runtime,EXACT MATCH,Individually verified field-by-field against live Contract 4 Sec 8
M06-02,C4,AttributeEvidenceArtifact.fieldAssessmentIdentity,c4-sec8-aea-semantic-contract,required,Resolves to one BestEffortFieldAssessmentRecord.,exactly 1,n/a,C10,AttributeEvidenceArtifact.fieldAssessmentIdentity,c10-sec7-master-field-inventory,same,same,exactly 1,contained within attributeEvidenceArtifacts[],runtime,EXACT MATCH,Individually verified field-by-field against live Contract 4 Sec 8
M06-03,C4,AttributeEvidenceArtifact.bestEffortValueIdentity,c4-sec8-aea-semantic-contract,required,Resolves to one immutable produced value revision linked by that assessment.,exactly 1,n/a,C10,AttributeEvidenceArtifact.bestEffortValueIdentity,c10-sec7-master-field-inventory,same,same,exactly 1,contained within attributeEvidenceArtifacts[],runtime,EXACT MATCH,Individually verified field-by-field against live Contract 4 Sec 8
M06-04,C4,AttributeEvidenceArtifact.ownerIdentity,c4-sec8-aea-semantic-contract,required,Must equal the assessment owner.,exactly 1,n/a,C10,AttributeEvidenceArtifact.ownerIdentity,c10-sec7-master-field-inventory,same,same,exactly 1,contained within attributeEvidenceArtifacts[],runtime,EXACT MATCH,Individually verified field-by-field against live Contract 4 Sec 8
M06-05,C4,AttributeEvidenceArtifact.evidenceKindIdentity,c4-sec8-aea-semantic-contract,required,One c4.evidencekind.* value.,exactly 1,n/a,C10,AttributeEvidenceArtifact.evidenceKindIdentity,c10-sec7-master-field-inventory,same,same,exactly 1,contained within attributeEvidenceArtifacts[],runtime,EXACT MATCH,Individually verified field-by-field against live Contract 4 Sec 8
M06-06,C4,AttributeEvidenceArtifact.provenanceAttachmentIdentity,c4-sec8-aea-semantic-contract,required,Resolves to the final immediate-step provenance attachment.,exactly 1,n/a,C10,AttributeEvidenceArtifact.provenanceAttachmentIdentity,c10-sec7-master-field-inventory,same,same,exactly 1,contained within attributeEvidenceArtifacts[],runtime,EXACT MATCH,Individually verified field-by-field against live Contract 4 Sec 8
M06-07,C4,AttributeEvidenceArtifact.roomCaseIdentity,c4-sec8-aea-semantic-contract,required,Must equal the assessment RoomCase.,exactly 1,n/a,C10,AttributeEvidenceArtifact.roomCaseIdentity,c10-sec7-master-field-inventory,same,same,exactly 1,contained within attributeEvidenceArtifacts[],runtime,EXACT MATCH,Individually verified field-by-field against live Contract 4 Sec 8
M06-08,C4,AttributeEvidenceArtifact.atomicEvidenceContributions,c4-sec8-aea-semantic-contract,conditional,No artificial maximum; distinct admitted ImageAsset identities remain 1..6.,1..N,n/a,C10,AttributeEvidenceArtifact.atomicEvidenceContributions,c10-sec7-master-field-inventory,same,same,1..N,contained within attributeEvidenceArtifacts[],runtime,EXACT MATCH,Individually verified field-by-field against live Contract 4 Sec 8
M06-09,C4,AttributeEvidenceArtifact.producingStageIdentity,c4-sec8-aea-semantic-contract,required,Must equal producingStageIdentity in linked provenance attachment.,exactly 1,n/a,C10,AttributeEvidenceArtifact.producingStageIdentity,c10-sec7-master-field-inventory,same,same,exactly 1,contained within attributeEvidenceArtifacts[],runtime,EXACT MATCH,Individually verified field-by-field against live Contract 4 Sec 8
M06-10,C4,AttributeEvidenceArtifact.producerIdentityAndVersion,c4-sec8-aea-semantic-contract,conditional,As required by provenance.,0..N conditional,n/a,C10,AttributeEvidenceArtifact.producerIdentityAndVersion,c10-sec7-master-field-inventory,same,same,0..N conditional,contained within attributeEvidenceArtifacts[],runtime,EXACT MATCH,Individually verified field-by-field against live Contract 4 Sec 8
M06-11,C4,AttributeEvidenceArtifact.derivationParentIdentities,c4-sec8-aea-semantic-contract,conditional,Absent for visually-observed; required where derivation has parents.,0..N conditional,n/a,C10,AttributeEvidenceArtifact.derivationParentIdentities,c10-sec7-master-field-inventory,same,same,0..N conditional,contained within attributeEvidenceArtifacts[],runtime,EXACT MATCH,Individually verified field-by-field against live Contract 4 Sec 8
M06-12,C4,AttributeEvidenceArtifact.contractSemanticVersion,c4-sec8-aea-semantic-contract,required,c4.semanticmodelversion.001 for this candidate lineage.,exactly 1,n/a,C10,AttributeEvidenceArtifact.contractSemanticVersion,c10-sec7-master-field-inventory,same,same,exactly 1,contained within attributeEvidenceArtifacts[],runtime,EXACT MATCH,Individually verified field-by-field against live Contract 4 Sec 8
M06-13,C4,AttributeEvidenceArtifact.serializationSchemaReference,c4-sec8-aea-semantic-contract,conditional,Future Contract-10-owned schema/encoding reference.,0..1,n/a,C10,AttributeEvidenceArtifact.serializationSchemaReference,c10-sec7-master-field-inventory,same,same,0..1,contained within attributeEvidenceArtifacts[],runtime,EXACT MATCH,Individually verified field-by-field against live Contract 4 Sec 8
M06-14,C4,AttributeEvidenceArtifact.reasonOrTraceReference,c4-sec8-aea-semantic-contract,required,Stable diagnostic reason/trace reference.,exactly 1,n/a,C10,AttributeEvidenceArtifact.reasonOrTraceReference,c10-sec7-master-field-inventory,same,same,exactly 1,contained within attributeEvidenceArtifacts[],runtime,EXACT MATCH,Individually verified field-by-field against live Contract 4 Sec 8
M06-15,C4,AttributeEvidenceArtifact.integrityReference,c4-sec8-aea-semantic-contract,required,Content/integrity reference.,exactly 1,n/a,C10,AttributeEvidenceArtifact.integrityReference,c10-sec7-master-field-inventory,same,same,exactly 1,contained within attributeEvidenceArtifacts[],runtime,EXACT MATCH,Individually verified field-by-field against live Contract 4 Sec 8
M06-16,C4,AttributeEvidenceArtifact.dataUseEligibilityReference,c4-sec8-aea-semantic-contract,required,Licensed/synthetic/staged eligibility record.,exactly 1,n/a,C10,AttributeEvidenceArtifact.dataUseEligibilityReference,c10-sec7-master-field-inventory,same,same,exactly 1,contained within attributeEvidenceArtifacts[],runtime,EXACT MATCH,Individually verified field-by-field against live Contract 4 Sec 8
M06-17,C4,AttributeEvidenceArtifact.consentEligibilityReference,c4-sec8-aea-semantic-contract,required,Compatibility reference; governed NOT-APPLICABLE permitted.,exactly 1,n/a,C10,AttributeEvidenceArtifact.consentEligibilityReference,c10-sec7-master-field-inventory,same,same,exactly 1,contained within attributeEvidenceArtifacts[],runtime,EXACT MATCH,Individually verified field-by-field against live Contract 4 Sec 8
M06-18,C4,AttributeEvidenceArtifact.authorizationStateReference,c4-sec8-aea-semantic-contract,required,Producing-action authorization state.,exactly 1,n/a,C10,AttributeEvidenceArtifact.authorizationStateReference,c10-sec7-master-field-inventory,same,same,exactly 1,contained within attributeEvidenceArtifacts[],runtime,EXACT MATCH,Individually verified field-by-field against live Contract 4 Sec 8
M06-19,C4,AttributeEvidenceArtifact.retentionDeletionPolicyReference,c4-sec8-aea-semantic-contract,required,Governed retention/deletion policy.,exactly 1,n/a,C10,AttributeEvidenceArtifact.retentionDeletionPolicyReference,c10-sec7-master-field-inventory,same,same,exactly 1,contained within attributeEvidenceArtifacts[],runtime,EXACT MATCH,Individually verified field-by-field against live Contract 4 Sec 8
M06-20,C4,AttributeEvidenceArtifact.safeFailureReference,c4-sec8-aea-semantic-contract,required,Disposition for prohibited/invalid/unusable evidence.,exactly 1,n/a,C10,AttributeEvidenceArtifact.safeFailureReference,c10-sec7-master-field-inventory,same,same,exactly 1,contained within attributeEvidenceArtifacts[],runtime,EXACT MATCH,Individually verified field-by-field against live Contract 4 Sec 8
M06-21,C4,AttributeEvidenceArtifact.tamperEvidentHistoryReference,c4-sec8-aea-semantic-contract,required,Immutable revision-history compatibility reference.,exactly 1,n/a,C10,AttributeEvidenceArtifact.tamperEvidentHistoryReference,c10-sec7-master-field-inventory,same,same,exactly 1,contained within attributeEvidenceArtifacts[],runtime,EXACT MATCH,Individually verified field-by-field against live Contract 4 Sec 8
M06-22,C4,AttributeEvidenceArtifact.futureFeedbackLinkReference,c4-sec8-aea-semantic-contract,conditional,Learning-ready linkage only.,0..1,n/a,C10,AttributeEvidenceArtifact.futureFeedbackLinkReference,c10-sec7-master-field-inventory,same,same,0..1,contained within attributeEvidenceArtifacts[],runtime,EXACT MATCH,Individually verified field-by-field against live Contract 4 Sec 8
M06-23,C4,AttributeEvidenceArtifact.noRegressionEvaluationReference,c4-sec8-aea-semantic-contract,required,Governed no-regression evaluation lineage.,exactly 1,n/a,C10,AttributeEvidenceArtifact.noRegressionEvaluationReference,c10-sec7-master-field-inventory,same,same,exactly 1,contained within attributeEvidenceArtifacts[],runtime,EXACT MATCH,Individually verified field-by-field against live Contract 4 Sec 8
M06-24,C4,AttributeEvidenceArtifact.rollbackCompatibilityReference,c4-sec8-aea-semantic-contract,required,Future governed rollback compatibility.,exactly 1,n/a,C10,AttributeEvidenceArtifact.rollbackCompatibilityReference,c10-sec7-master-field-inventory,same,same,exactly 1,contained within attributeEvidenceArtifacts[],runtime,EXACT MATCH,Individually verified field-by-field against live Contract 4 Sec 8
M06-25,C4,AttributeEvidenceArtifact.predecessorArtifactIdentity,c4-sec8-aea-semantic-contract,conditional,Mandatory for supersession.,0..1 conditional,n/a,C10,AttributeEvidenceArtifact.predecessorArtifactIdentity,c10-sec7-master-field-inventory,same,same,0..1 conditional,contained within attributeEvidenceArtifacts[],runtime,EXACT MATCH,Individually verified field-by-field against live Contract 4 Sec 8
M06-26,C4,AttributeEvidenceArtifact.artifactRevisionState,c4-sec8-aea-semantic-contract,required,One c4.artifactrevisionstate.* value.,exactly 1,n/a,C10,AttributeEvidenceArtifact.artifactRevisionState,c10-sec7-master-field-inventory,same,same,exactly 1,contained within attributeEvidenceArtifacts[],runtime,EXACT MATCH,Individually verified field-by-field against live Contract 4 Sec 8
M07-01,C4,AtomicEvidenceContribution.contributionIdentity,c4-sec8.4-atomicevidencecontribution,required,1..N contributions per AEA; 1..6 distinct ImageAssets; exactly 1 RoomCase,exactly 1 per contribution,n/a,C10,AtomicEvidenceContribution.contributionIdentity,c10-sec7-master-field-inventory,same,same,same,contained within AEA.atomicEvidenceContributions[],runtime,EXACT MATCH,Individually verified field-by-field against live Contract 4 Sec 8.4
M07-02,C4,AtomicEvidenceContribution.imageAssetIdentity,c4-sec8.4-atomicevidencecontribution,required,1..N contributions per AEA; 1..6 distinct ImageAssets; exactly 1 RoomCase,exactly 1 per contribution,n/a,C10,AtomicEvidenceContribution.imageAssetIdentity,c10-sec7-master-field-inventory,same,same,same,contained within AEA.atomicEvidenceContributions[],runtime,EXACT MATCH,Individually verified field-by-field against live Contract 4 Sec 8.4
M07-03,C4,AtomicEvidenceContribution.sourceAssetIdentity,c4-sec8.4-atomicevidencecontribution,required,1..N contributions per AEA; 1..6 distinct ImageAssets; exactly 1 RoomCase,exactly 1 per contribution,n/a,C10,AtomicEvidenceContribution.sourceAssetIdentity,c10-sec7-master-field-inventory,same,same,same,contained within AEA.atomicEvidenceContributions[],runtime,EXACT MATCH,Individually verified field-by-field against live Contract 4 Sec 8.4
M07-04,C4,AtomicEvidenceContribution.locatorOrInferenceBasisReference,c4-sec8.4-atomicevidencecontribution,required,1..N contributions per AEA; 1..6 distinct ImageAssets; exactly 1 RoomCase,as required,n/a,C10,AtomicEvidenceContribution.locatorOrInferenceBasisReference,c10-sec7-master-field-inventory,same,same,same,contained within AEA.atomicEvidenceContributions[],runtime,EXACT MATCH,Individually verified field-by-field against live Contract 4 Sec 8.4
M07-05,C4,AtomicEvidenceContribution.preprocessingLineageReference,c4-sec8.4-atomicevidencecontribution,required,1..N contributions per AEA; 1..6 distinct ImageAssets; exactly 1 RoomCase,where applicable,n/a,C10,AtomicEvidenceContribution.preprocessingLineageReference,c10-sec7-master-field-inventory,same,same,same,contained within AEA.atomicEvidenceContributions[],runtime,EXACT MATCH,Individually verified field-by-field against live Contract 4 Sec 8.4
M07-06,C4,AtomicEvidenceContribution.contributionIntegrityReference,c4-sec8.4-atomicevidencecontribution,required,1..N contributions per AEA; 1..6 distinct ImageAssets; exactly 1 RoomCase,exactly 1 per contribution,n/a,C10,AtomicEvidenceContribution.contributionIntegrityReference,c10-sec7-master-field-inventory,same,same,same,contained within AEA.atomicEvidenceContributions[],runtime,EXACT MATCH,Individually verified field-by-field against live Contract 4 Sec 8.4
M07-07,C4,AtomicEvidenceContribution.contributionHistoryReference,c4-sec8.4-atomicevidencecontribution,required,1..N contributions per AEA; 1..6 distinct ImageAssets; exactly 1 RoomCase,inherited/resolvable through AEA lineage,n/a,C10,AtomicEvidenceContribution.contributionHistoryReference,c10-sec7-master-field-inventory,same,same,same,contained within AEA.atomicEvidenceContributions[],runtime,EXACT MATCH,Individually verified field-by-field against live Contract 4 Sec 8.4
M07-08,C4,AtomicEvidenceContribution.contributionProducingStageVersionReference,c4-sec8.4-atomicevidencecontribution,required,1..N contributions per AEA; 1..6 distinct ImageAssets; exactly 1 RoomCase,exactly 1 per contribution,n/a,C10,AtomicEvidenceContribution.contributionProducingStageVersionReference,c10-sec7-master-field-inventory,same,same,same,contained within AEA.atomicEvidenceContributions[],runtime,EXACT MATCH,Individually verified field-by-field against live Contract 4 Sec 8.4
M18-01,C8,RawMechanismAssertionArtifact.rawEmittedCode,c8-sec11.1-11.5,required/conditional (per component),Preserved only when explicitly emitted,0..1 conditional,n/a,C10,RawMechanismAssertionArtifact.rawEmittedCode,c10-sec7-master-field-inventory,same,same,same,contained within evaluation-artifact constructs,evaluation,EXACT MATCH,Individually verified against live Contract 8 text this session
M18-02,C8,RawMechanismAssertionArtifact.rawSubject,c8-sec11.1-11.5,required/conditional (per component),Same,0..1 conditional,n/a,C10,RawMechanismAssertionArtifact.rawSubject,c10-sec7-master-field-inventory,same,same,same,contained within evaluation-artifact constructs,evaluation,EXACT MATCH,Individually verified against live Contract 8 text this session
M18-03,C8,RawMechanismAssertionArtifact.rawTarget,c8-sec11.1-11.5,required/conditional (per component),Same,0..1 conditional,n/a,C10,RawMechanismAssertionArtifact.rawTarget,c10-sec7-master-field-inventory,same,same,same,contained within evaluation-artifact constructs,evaluation,EXACT MATCH,Individually verified against live Contract 8 text this session
M18-04,C8,RawMechanismAssertionArtifact.rawLocus,c8-sec11.1-11.5,required/conditional (per component),Same,0..1 conditional,n/a,C10,RawMechanismAssertionArtifact.rawLocus,c10-sec7-master-field-inventory,same,same,same,contained within evaluation-artifact constructs,evaluation,EXACT MATCH,Individually verified against live Contract 8 text this session
M18-05,C8,RawMechanismAssertionArtifact.assertionProjectionFactId,c8-sec11.1-11.5,required/conditional (per component),Links to ETAPAssertionProjectionFact,0..1 while pre-final blocked; exactly 1 after finalization,n/a,C10,RawMechanismAssertionArtifact.assertionProjectionFactId,c10-sec7-master-field-inventory,same,same,same,contained within evaluation-artifact constructs,evaluation,EXACT MATCH,Individually verified against live Contract 8 text this session
M18-06,C8,RawMechanismAssertionArtifact.historyReference,c8-sec11.1-11.5,required/conditional (per component),Immutable capture/append-only links,exactly 1,n/a,C10,RawMechanismAssertionArtifact.historyReference,c10-sec7-master-field-inventory,same,same,same,contained within evaluation-artifact constructs,evaluation,EXACT MATCH,Individually verified against live Contract 8 text this session
M18-07,C8,ETAPAssertionProjectionFact.rawMalformedComparisonLink,c8-sec11.1-11.5,required/conditional (per component),Required for partial/impossible normalization,0..1,n/a,C10,ETAPAssertionProjectionFact.rawMalformedComparisonLink,c10-sec7-master-field-inventory,same,same,same,contained within evaluation-artifact constructs,evaluation,EXACT MATCH,Individually verified against live Contract 8 text this session
M18-08,C8,ETAPAssertionProjectionFact.versionConfigurationBundle,c8-sec11.1-11.5,required/conditional (per component),Language-neutral immutable evaluation-package version identity,exactly 1,n/a,C10,ETAPAssertionProjectionFact.versionConfigurationBundle,c10-sec7-master-field-inventory,same,same,same,contained within evaluation-artifact constructs,evaluation,EXACT MATCH,Individually verified against live Contract 8 text this session
M18-09,C8,C8EvaluationRecord.normalizationTransformationId,c8-sec11.1-11.5,required/conditional (per component),Applies to record type .003,conditional,n/a,C10,C8EvaluationRecord.normalizationTransformationId,c10-sec7-master-field-inventory,same,same,same,contained within evaluation-artifact constructs,evaluation,EXACT MATCH,Individually verified against live Contract 8 text this session
M18-10,C8,C8EvaluationRecord.normalizedAtomicInterpretationId,c8-sec11.1-11.5,required/conditional (per component),Same,conditional,n/a,C10,C8EvaluationRecord.normalizedAtomicInterpretationId,c10-sec7-master-field-inventory,same,same,same,contained within evaluation-artifact constructs,evaluation,EXACT MATCH,Individually verified against live Contract 8 text this session
M18-11,C8,C8EvaluationRecord.matchedProducedRecordId,c8-sec11.1-11.5,required/conditional (per component),References c8.recordtype.003 produced-claim record,conditional,n/a,C10,C8EvaluationRecord.matchedProducedRecordId,c10-sec7-master-field-inventory,same,same,same,contained within evaluation-artifact constructs,evaluation,EXACT MATCH,Individually verified against live Contract 8 text this session
