edgeId,sourceContract,sourceSemanticUnit,sourceLocation,referenceKind,requiredness,targetContract,targetSemanticUnit,targetLocation,targetSemanticKind,targetLifecycleAvailability,resolutionStatus,reason,occurrenceCount
E01-001,C10,c10.field.001 (CaptureSetIntake.operationId),sec7-master-field-inventory,field-bound validation pairing,required,C10,c10.validation.001,sec9-field-bound-validation-registry,validation rule,runtime,RESOLVED,Direct table lookup: field row and validation row share identical numeric ID; validation Target column matches field Construct,1
E01-002,C10,c10.field.002 (CaptureSetIntake.inputArtifactId),sec7-master-field-inventory,field-bound validation pairing,required,C10,c10.validation.002,sec9-field-bound-validation-registry,validation rule,runtime,RESOLVED,Direct table lookup: field row and validation row share identical numeric ID; validation Target column matches field Construct,1
E01-003,C10,c10.field.003 (CaptureSetIntake.imageAssets),sec7-master-field-inventory,field-bound validation pairing,required,C10,c10.validation.003,sec9-field-bound-validation-registry,validation rule,runtime,RESOLVED,Direct table lookup: field row and validation row share identical numeric ID; validation Target column matches field Construct,1
E01-004,C10,c10.field.004 (ImageAsset.imageAssetId),sec7-master-field-inventory,field-bound validation pairing,required,C10,c10.validation.004,sec9-field-bound-validation-registry,validation rule,runtime,RESOLVED,Direct table lookup: field row and validation row share identical numeric ID; validation Target column matches field Construct,1
E01-005,C10,c10.field.005 (ImageAsset.sourceAssetId),sec7-master-field-inventory,field-bound validation pairing,required,C10,c10.validation.005,sec9-field-bound-validation-registry,validation rule,runtime,RESOLVED,Direct table lookup: field row and validation row share identical numeric ID; validation Target column matches field Construct,1
E01-006,C10,c10.field.006 (ImageAsset.sourceClass),sec7-master-field-inventory,field-bound validation pairing,required,C10,c10.validation.006,sec9-field-bound-validation-registry,validation rule,runtime,RESOLVED,Direct table lookup: field row and validation row share identical numeric ID; validation Target column matches field Construct,1
E01-007,C10,c10.field.007 (ImageAsset.mediaType),sec7-master-field-inventory,field-bound validation pairing,required,C10,c10.validation.007,sec9-field-bound-validation-registry,validation rule,runtime,RESOLVED,Direct table lookup: field row and validation row share identical numeric ID; validation Target column matches field Construct,1
E01-008,C10,c10.field.008 (ImageAsset.contentIntegrityReference),sec7-master-field-inventory,field-bound validation pairing,required,C10,c10.validation.008,sec9-field-bound-validation-registry,validation rule,runtime,RESOLVED,Direct table lookup: field row and validation row share identical numeric ID; validation Target column matches field Construct,1
E01-009,C10,c10.field.009 (ImageAsset.preprocessingLineageReference),sec7-master-field-inventory,field-bound validation pairing,required,C10,c10.validation.009,sec9-field-bound-validation-registry,validation rule,runtime,RESOLVED,Direct table lookup: field row and validation row share identical numeric ID; validation Target column matches field Construct,1
E01-010,C10,c10.field.010 (SameRoomValidationRecord.sameRoomValidationId),sec7-master-field-inventory,field-bound validation pairing,required,C10,c10.validation.010,sec9-field-bound-validation-registry,validation rule,runtime,RESOLVED,Direct table lookup: field row and validation row share identical numeric ID; validation Target column matches field Construct,1
E01-011,C10,c10.field.011 (SameRoomValidationRecord.operationId),sec7-master-field-inventory,field-bound validation pairing,required,C10,c10.validation.011,sec9-field-bound-validation-registry,validation rule,runtime,RESOLVED,Direct table lookup: field row and validation row share identical numeric ID; validation Target column matches field Construct,1
E01-012,C10,c10.field.012 (SameRoomValidationRecord.contributingImageAssetIds),sec7-master-field-inventory,field-bound validation pairing,required,C10,c10.validation.012,sec9-field-bound-validation-registry,validation rule,runtime,RESOLVED,Direct table lookup: field row and validation row share identical numeric ID; validation Target column matches field Construct,1
E01-013,C10,c10.field.013 (SameRoomValidationRecord.outcome),sec7-master-field-inventory,field-bound validation pairing,required,C10,c10.validation.013,sec9-field-bound-validation-registry,validation rule,runtime,RESOLVED,Direct table lookup: field row and validation row share identical numeric ID; validation Target column matches field Construct,1
E01-014,C10,c10.field.014 (SameRoomValidationRecord.basisReferences),sec7-master-field-inventory,field-bound validation pairing,required,C10,c10.validation.014,sec9-field-bound-validation-registry,validation rule,runtime,RESOLVED,Direct table lookup: field row and validation row share identical numeric ID; validation Target column matches field Construct,1
E01-015,C10,c10.field.015 (SameRoomValidationRecord.roomCaseId),sec7-master-field-inventory,field-bound validation pairing,required,C10,c10.validation.015,sec9-field-bound-validation-registry,validation rule,runtime,RESOLVED,Direct table lookup: field row and validation row share identical numeric ID; validation Target column matches field Construct,1
E01-016,C10,c10.field.016 (SameRoomValidationRecord.inputSetId),sec7-master-field-inventory,field-bound validation pairing,required,C10,c10.validation.016,sec9-field-bound-validation-registry,validation rule,runtime,RESOLVED,Direct table lookup: field row and validation row share identical numeric ID; validation Target column matches field Construct,1
E01-017,C10,c10.field.017 (PerceptionOperation.operationId),sec7-master-field-inventory,field-bound validation pairing,required,C10,c10.validation.017,sec9-field-bound-validation-registry,validation rule,runtime,RESOLVED,Direct table lookup: field row and validation row share identical numeric ID; validation Target column matches field Construct,1
E01-018,C10,c10.field.018 (PerceptionOperation.roomCase),sec7-master-field-inventory,field-bound validation pairing,required,C10,c10.validation.018,sec9-field-bound-validation-registry,validation rule,runtime,RESOLVED,Direct table lookup: field row and validation row share identical numeric ID; validation Target column matches field Construct,1
E01-019,C10,c10.field.019 (RoomCase.roomCaseId),sec7-master-field-inventory,field-bound validation pairing,required,C10,c10.validation.019,sec9-field-bound-validation-registry,validation rule,runtime,RESOLVED,Direct table lookup: field row and validation row share identical numeric ID; validation Target column matches field Construct,1
E01-020,C10,c10.field.020 (RoomCase.imageAssets),sec7-master-field-inventory,field-bound validation pairing,required,C10,c10.validation.020,sec9-field-bound-validation-registry,validation rule,runtime,RESOLVED,Direct table lookup: field row and validation row share identical numeric ID; validation Target column matches field Construct,1
E01-021,C10,c10.field.021 (RoomCase.sameRoomValidationReference),sec7-master-field-inventory,field-bound validation pairing,required,C10,c10.validation.021,sec9-field-bound-validation-registry,validation rule,runtime,RESOLVED,Direct table lookup: field row and validation row share identical numeric ID; validation Target column matches field Construct,1
E01-022,C10,c10.field.022 (MixedRoomValidationRequest.operationId),sec7-master-field-inventory,field-bound validation pairing,required,C10,c10.validation.022,sec9-field-bound-validation-registry,validation rule,runtime,RESOLVED,Direct table lookup: field row and validation row share identical numeric ID; validation Target column matches field Construct,1
E01-023,C10,c10.field.023 (MixedRoomValidationRequest.inputSetId),sec7-master-field-inventory,field-bound validation pairing,required,C10,c10.validation.023,sec9-field-bound-validation-registry,validation rule,runtime,RESOLVED,Direct table lookup: field row and validation row share identical numeric ID; validation Target column matches field Construct,1
E01-024,C10,c10.field.024 (MixedRoomValidationRequest.imageAssets),sec7-master-field-inventory,field-bound validation pairing,required,C10,c10.validation.024,sec9-field-bound-validation-registry,validation rule,runtime,RESOLVED,Direct table lookup: field row and validation row share identical numeric ID; validation Target column matches field Construct,1
E01-025,C10,c10.field.025 (MixedRoomValidationRequest.roomCaseId),sec7-master-field-inventory,field-bound validation pairing,required,C10,c10.validation.025,sec9-field-bound-validation-registry,validation rule,runtime,RESOLVED,Direct table lookup: field row and validation row share identical numeric ID; validation Target column matches field Construct,1
E01-026,C10,c10.field.026 (UnsupportedInput.operationId),sec7-master-field-inventory,field-bound validation pairing,required,C10,c10.validation.026,sec9-field-bound-validation-registry,validation rule,runtime,RESOLVED,Direct table lookup: field row and validation row share identical numeric ID; validation Target column matches field Construct,1
E01-027,C10,c10.field.027 (UnsupportedInput.inputArtifactId),sec7-master-field-inventory,field-bound validation pairing,required,C10,c10.validation.027,sec9-field-bound-validation-registry,validation rule,runtime,RESOLVED,Direct table lookup: field row and validation row share identical numeric ID; validation Target column matches field Construct,1
E01-028,C10,c10.field.028 (UnsupportedInput.reason),sec7-master-field-inventory,field-bound validation pairing,required,C10,c10.validation.028,sec9-field-bound-validation-registry,validation rule,runtime,RESOLVED,Direct table lookup: field row and validation row share identical numeric ID; validation Target column matches field Construct,1
E01-029,C10,c10.field.029 (UnsupportedInput.observedAssetCount),sec7-master-field-inventory,field-bound validation pairing,required,C10,c10.validation.029,sec9-field-bound-validation-registry,validation rule,runtime,RESOLVED,Direct table lookup: field row and validation row share identical numeric ID; validation Target column matches field Construct,1
E01-030,C10,c10.field.030 (PerceptionOperation.operationState),sec7-master-field-inventory,field-bound validation pairing,required,C10,c10.validation.030,sec9-field-bound-validation-registry,validation rule,runtime,RESOLVED,Direct table lookup: field row and validation row share identical numeric ID; validation Target column matches field Construct,1
E01-031,C10,c10.field.031 (PerceptionOperation.resultReference),sec7-master-field-inventory,field-bound validation pairing,required,C10,c10.validation.031,sec9-field-bound-validation-registry,validation rule,runtime,RESOLVED,Direct table lookup: field row and validation row share identical numeric ID; validation Target column matches field Construct,1
E01-032,C10,c10.field.032 (CaptureSetIntake.schemaVersion),sec7-master-field-inventory,field-bound validation pairing,required,C10,c10.validation.032,sec9-field-bound-validation-registry,validation rule,runtime,RESOLVED,Direct table lookup: field row and validation row share identical numeric ID; validation Target column matches field Construct,1
E01-033,C10,c10.field.033 (SameRoomValidationRecord.schemaVersion),sec7-master-field-inventory,field-bound validation pairing,required,C10,c10.validation.033,sec9-field-bound-validation-registry,validation rule,runtime,RESOLVED,Direct table lookup: field row and validation row share identical numeric ID; validation Target column matches field Construct,1
E01-034,C10,c10.field.034 (PerceptionOperation.schemaVersion),sec7-master-field-inventory,field-bound validation pairing,required,C10,c10.validation.034,sec9-field-bound-validation-registry,validation rule,runtime,RESOLVED,Direct table lookup: field row and validation row share identical numeric ID; validation Target column matches field Construct,1
E01-035,C10,c10.field.035 (MixedRoomValidationRequest.schemaVersion),sec7-master-field-inventory,field-bound validation pairing,required,C10,c10.validation.035,sec9-field-bound-validation-registry,validation rule,runtime,RESOLVED,Direct table lookup: field row and validation row share identical numeric ID; validation Target column matches field Construct,1
E01-036,C10,c10.field.036 (UnsupportedInput.schemaVersion),sec7-master-field-inventory,field-bound validation pairing,required,C10,c10.validation.036,sec9-field-bound-validation-registry,validation rule,runtime,RESOLVED,Direct table lookup: field row and validation row share identical numeric ID; validation Target column matches field Construct,1
E01-100,C10,c10.field.100 (VlmSceneCandidate.candidateId),sec7-master-field-inventory,field-bound validation pairing,required,C10,c10.validation.100,sec9-field-bound-validation-registry,validation rule,runtime,RESOLVED,Direct table lookup: field row and validation row share identical numeric ID; validation Target column matches field Construct,1
E01-101,C10,c10.field.101 (VlmSceneCandidate.operationId),sec7-master-field-inventory,field-bound validation pairing,required,C10,c10.validation.101,sec9-field-bound-validation-registry,validation rule,runtime,RESOLVED,Direct table lookup: field row and validation row share identical numeric ID; validation Target column matches field Construct,1
E01-102,C10,c10.field.102 (VlmSceneCandidate.roomCaseId),sec7-master-field-inventory,field-bound validation pairing,required,C10,c10.validation.102,sec9-field-bound-validation-registry,validation rule,runtime,RESOLVED,Direct table lookup: field row and validation row share identical numeric ID; validation Target column matches field Construct,1
E01-103,C10,c10.field.103 (VlmSceneCandidate.contributingImageAssetIds),sec7-master-field-inventory,field-bound validation pairing,required,C10,c10.validation.103,sec9-field-bound-validation-registry,validation rule,runtime,RESOLVED,Direct table lookup: field row and validation row share identical numeric ID; validation Target column matches field Construct,1
E01-104,C10,c10.field.104 (VlmSceneCandidate.producingStageIdentity),sec7-master-field-inventory,field-bound validation pairing,required,C10,c10.validation.104,sec9-field-bound-validation-registry,validation rule,runtime,RESOLVED,Direct table lookup: field row and validation row share identical numeric ID; validation Target column matches field Construct,1
E01-105,C10,c10.field.105 (VlmSceneCandidate.rawProviderOutputReference),sec7-master-field-inventory,field-bound validation pairing,required,C10,c10.validation.105,sec9-field-bound-validation-registry,validation rule,runtime,RESOLVED,Direct table lookup: field row and validation row share identical numeric ID; validation Target column matches field Construct,1
E01-106,C10,c10.field.106 (VlmSceneCandidate.candidateNodes),sec7-master-field-inventory,field-bound validation pairing,required,C10,c10.validation.106,sec9-field-bound-validation-registry,validation rule,runtime,RESOLVED,Direct table lookup: field row and validation row share identical numeric ID; validation Target column matches field Construct,1
E01-107,C10,c10.field.107 (CandidateNode.candidateNodeId),sec7-master-field-inventory,field-bound validation pairing,required,C10,c10.validation.107,sec9-field-bound-validation-registry,validation rule,runtime,RESOLVED,Direct table lookup: field row and validation row share identical numeric ID; validation Target column matches field Construct,1
E01-108,C10,c10.field.108 (CandidateNode.kind),sec7-master-field-inventory,field-bound validation pairing,required,C10,c10.validation.108,sec9-field-bound-validation-registry,validation rule,runtime,RESOLVED,Direct table lookup: field row and validation row share identical numeric ID; validation Target column matches field Construct,1
E01-109,C10,c10.field.109 (CandidateNode.spaceTypeId),sec7-master-field-inventory,field-bound validation pairing,required,C10,c10.validation.109,sec9-field-bound-validation-registry,validation rule,runtime,RESOLVED,Direct table lookup: field row and validation row share identical numeric ID; validation Target column matches field Construct,1
E01-110,C10,c10.field.110 (CandidateNode.typeLabel),sec7-master-field-inventory,field-bound validation pairing,required,C10,c10.validation.110,sec9-field-bound-validation-registry,validation rule,runtime,RESOLVED,Direct table lookup: field row and validation row share identical numeric ID; validation Target column matches field Construct,1
E01-111,C10,c10.field.111 (CandidateNode.geometryCandidate),sec7-master-field-inventory,field-bound validation pairing,required,C10,c10.validation.111,sec9-field-bound-validation-registry,validation rule,runtime,RESOLVED,Direct table lookup: field row and validation row share identical numeric ID; validation Target column matches field Construct,1
E01-112,C10,c10.field.112 (VlmSceneCandidate.candidateRelations),sec7-master-field-inventory,field-bound validation pairing,required,C10,c10.validation.112,sec9-field-bound-validation-registry,validation rule,runtime,RESOLVED,Direct table lookup: field row and validation row share identical numeric ID; validation Target column matches field Construct,1
E01-113,C10,c10.field.113 (CandidateRelation.candidateRelationId),sec7-master-field-inventory,field-bound validation pairing,required,C10,c10.validation.113,sec9-field-bound-validation-registry,validation rule,runtime,RESOLVED,Direct table lookup: field row and validation row share identical numeric ID; validation Target column matches field Construct,1
E01-114,C10,c10.field.114 (CandidateRelation.relationTypeIdentity),sec7-master-field-inventory,field-bound validation pairing,required,C10,c10.validation.114,sec9-field-bound-validation-registry,validation rule,runtime,RESOLVED,Direct table lookup: field row and validation row share identical numeric ID; validation Target column matches field Construct,1
E01-115,C10,c10.field.115 (CandidateRelation.endpointCandidateNodeIds),sec7-master-field-inventory,field-bound validation pairing,required,C10,c10.validation.115,sec9-field-bound-validation-registry,validation rule,runtime,RESOLVED,Direct table lookup: field row and validation row share identical numeric ID; validation Target column matches field Construct,1
E01-116,C10,c10.field.116 (VlmSceneCandidate.schemaVersion),sec7-master-field-inventory,field-bound validation pairing,required,C10,c10.validation.116,sec9-field-bound-validation-registry,validation rule,runtime,RESOLVED,Direct table lookup: field row and validation row share identical numeric ID; validation Target column matches field Construct,1
E01-120,C10,c10.field.120 (StructuredSceneV0.sceneId),sec7-master-field-inventory,field-bound validation pairing,required,C10,c10.validation.120,sec9-field-bound-validation-registry,validation rule,runtime,RESOLVED,Direct table lookup: field row and validation row share identical numeric ID; validation Target column matches field Construct,1
E01-121,C10,c10.field.121 (StructuredSceneV0.operationId),sec7-master-field-inventory,field-bound validation pairing,required,C10,c10.validation.121,sec9-field-bound-validation-registry,validation rule,runtime,RESOLVED,Direct table lookup: field row and validation row share identical numeric ID; validation Target column matches field Construct,1
E01-122,C10,c10.field.122 (StructuredSceneV0.roomCaseId),sec7-master-field-inventory,field-bound validation pairing,required,C10,c10.validation.122,sec9-field-bound-validation-registry,validation rule,runtime,RESOLVED,Direct table lookup: field row and validation row share identical numeric ID; validation Target column matches field Construct,1
E01-123,C10,c10.field.123 (StructuredSceneV0.contributingImageAssetIds),sec7-master-field-inventory,field-bound validation pairing,required,C10,c10.validation.123,sec9-field-bound-validation-registry,validation rule,runtime,RESOLVED,Direct table lookup: field row and validation row share identical numeric ID; validation Target column matches field Construct,1
E01-124,C10,c10.field.124 (StructuredSceneV0.sceneRevisionId),sec7-master-field-inventory,field-bound validation pairing,required,C10,c10.validation.124,sec9-field-bound-validation-registry,validation rule,runtime,RESOLVED,Direct table lookup: field row and validation row share identical numeric ID; validation Target column matches field Construct,1
E01-125,C10,c10.field.125 (StructuredSceneV0.nodes),sec7-master-field-inventory,field-bound validation pairing,required,C10,c10.validation.125,sec9-field-bound-validation-registry,validation rule,runtime,RESOLVED,Direct table lookup: field row and validation row share identical numeric ID; validation Target column matches field Construct,1
E01-126,C10,c10.field.126 (SceneNode.nodeId),sec7-master-field-inventory,field-bound validation pairing,required,C10,c10.validation.126,sec9-field-bound-validation-registry,validation rule,runtime,RESOLVED,Direct table lookup: field row and validation row share identical numeric ID; validation Target column matches field Construct,1
E01-127,C10,c10.field.127 (SceneNode.kind),sec7-master-field-inventory,field-bound validation pairing,required,C10,c10.validation.127,sec9-field-bound-validation-registry,validation rule,runtime,RESOLVED,Direct table lookup: field row and validation row share identical numeric ID; validation Target column matches field Construct,1
E01-128,C10,c10.field.128 (SceneNode.spaceTypeId),sec7-master-field-inventory,field-bound validation pairing,required,C10,c10.validation.128,sec9-field-bound-validation-registry,validation rule,runtime,RESOLVED,Direct table lookup: field row and validation row share identical numeric ID; validation Target column matches field Construct,1
E01-129,C10,c10.field.129 (SceneNode.typeLabel),sec7-master-field-inventory,field-bound validation pairing,required,C10,c10.validation.129,sec9-field-bound-validation-registry,validation rule,runtime,RESOLVED,Direct table lookup: field row and validation row share identical numeric ID; validation Target column matches field Construct,1
E01-130,C10,c10.field.130 (SceneNode.geometry),sec7-master-field-inventory,field-bound validation pairing,required,C10,c10.validation.130,sec9-field-bound-validation-registry,validation rule,runtime,RESOLVED,Direct table lookup: field row and validation row share identical numeric ID; validation Target column matches field Construct,1
E01-131,C10,c10.field.131 (StructuredSceneV0.relations),sec7-master-field-inventory,field-bound validation pairing,required,C10,c10.validation.131,sec9-field-bound-validation-registry,validation rule,runtime,RESOLVED,Direct table lookup: field row and validation row share identical numeric ID; validation Target column matches field Construct,1
E01-132,C10,c10.field.132 (SceneRelation.relationId),sec7-master-field-inventory,field-bound validation pairing,required,C10,c10.validation.132,sec9-field-bound-validation-registry,validation rule,runtime,RESOLVED,Direct table lookup: field row and validation row share identical numeric ID; validation Target column matches field Construct,1
E01-133,C10,c10.field.133 (SceneRelation.relationTypeIdentity),sec7-master-field-inventory,field-bound validation pairing,required,C10,c10.validation.133,sec9-field-bound-validation-registry,validation rule,runtime,RESOLVED,Direct table lookup: field row and validation row share identical numeric ID; validation Target column matches field Construct,1
E01-134,C10,c10.field.134 (SceneRelation.endpointNodeIds),sec7-master-field-inventory,field-bound validation pairing,required,C10,c10.validation.134,sec9-field-bound-validation-registry,validation rule,runtime,RESOLVED,Direct table lookup: field row and validation row share identical numeric ID; validation Target column matches field Construct,1
E01-135,C10,c10.field.135 (SceneRelation.relationRevisionId),sec7-master-field-inventory,field-bound validation pairing,required,C10,c10.validation.135,sec9-field-bound-validation-registry,validation rule,runtime,RESOLVED,Direct table lookup: field row and validation row share identical numeric ID; validation Target column matches field Construct,1
E01-136,C10,c10.field.136 (StructuredSceneV0.schemaVersion),sec7-master-field-inventory,field-bound validation pairing,required,C10,c10.validation.136,sec9-field-bound-validation-registry,validation rule,runtime,RESOLVED,Direct table lookup: field row and validation row share identical numeric ID; validation Target column matches field Construct,1
E01-200,C10,c10.field.200 (PerceptionResultCommon.operationId),sec7-master-field-inventory,field-bound validation pairing,required,C10,c10.validation.200,sec9-field-bound-validation-registry,validation rule,runtime,RESOLVED,Direct table lookup: field row and validation row share identical numeric ID; validation Target column matches field Construct,1
E01-201,C10,c10.field.201 (PerceptionResultCommon.status),sec7-master-field-inventory,field-bound validation pairing,required,C10,c10.validation.201,sec9-field-bound-validation-registry,validation rule,runtime,RESOLVED,Direct table lookup: field row and validation row share identical numeric ID; validation Target column matches field Construct,1
E01-202,C10,c10.field.202 (PerceptionResultCommon.roomCaseId),sec7-master-field-inventory,field-bound validation pairing,required,C10,c10.validation.202,sec9-field-bound-validation-registry,validation rule,runtime,RESOLVED,Direct table lookup: field row and validation row share identical numeric ID; validation Target column matches field Construct,1
E01-203,C10,c10.field.203 (PerceptionResultCommon.contributingImageAssetIds),sec7-master-field-inventory,field-bound validation pairing,required,C10,c10.validation.203,sec9-field-bound-validation-registry,validation rule,runtime,RESOLVED,Direct table lookup: field row and validation row share identical numeric ID; validation Target column matches field Construct,1
E01-204,C10,c10.field.204 (PerceptionResultCommon.diagnosticsReference),sec7-master-field-inventory,field-bound validation pairing,required,C10,c10.validation.204,sec9-field-bound-validation-registry,validation rule,runtime,RESOLVED,Direct table lookup: field row and validation row share identical numeric ID; validation Target column matches field Construct,1
E01-205,C10,c10.field.205 (PerceptionResultCommon.schemaVersion),sec7-master-field-inventory,field-bound validation pairing,required,C10,c10.validation.205,sec9-field-bound-validation-registry,validation rule,runtime,RESOLVED,Direct table lookup: field row and validation row share identical numeric ID; validation Target column matches field Construct,1
